# Distance  Fibre_OffAxis
3.01301301e-01 2.05709935e-04
3.02002002e-01 2.05709935e-04
3.02702703e-01 2.05709935e-04
3.03403403e-01 2.05709935e-04
3.04104104e-01 2.05709935e-04
3.04804805e-01 2.05709935e-04
3.05505506e-01 2.05709935e-04
3.06206206e-01 2.05648195e-04
3.06906907e-01 2.05000045e-04
3.07607608e-01 2.03719465e-04
3.08308308e-01 2.01897772e-04
3.09009009e-01 1.99626279e-04
3.09709710e-01 1.96996303e-04
3.10410410e-01 1.94099160e-04
3.11111111e-01 1.91026163e-04
3.11811812e-01 1.87868630e-04
3.12512513e-01 1.84717875e-04
3.13213213e-01 1.81665213e-04
3.13913914e-01 1.78801960e-04
3.14614615e-01 1.76219432e-04
3.15315315e-01 1.74008944e-04
3.16016016e-01 1.72261810e-04
3.16716717e-01 1.71069347e-04
3.17417417e-01 1.70522870e-04
3.18118118e-01 1.70518282e-04
3.18818819e-01 1.70608413e-04
3.19519520e-01 1.70766935e-04
3.20220220e-01 1.70990020e-04
3.20920921e-01 1.71273839e-04
3.21621622e-01 1.71614566e-04
3.22322322e-01 1.72008372e-04
3.23023023e-01 1.72451430e-04
3.23723724e-01 1.72939912e-04
3.24424424e-01 1.73469991e-04
3.25125125e-01 1.74037838e-04
3.25825826e-01 1.75024474e-04
3.26526527e-01 1.76898548e-04
3.27227227e-01 1.79550130e-04
3.27927928e-01 1.82865449e-04
3.28628629e-01 1.86730732e-04
3.29329329e-01 1.91032209e-04
3.30030030e-01 1.95656107e-04
3.30730731e-01 2.00488655e-04
3.31431431e-01 2.05416082e-04
3.32132132e-01 2.10324615e-04
3.32832833e-01 2.15100483e-04
3.33533534e-01 2.19629914e-04
3.34234234e-01 2.23799138e-04
3.34934935e-01 2.27494381e-04
3.35635636e-01 2.30996685e-04
3.36336336e-01 2.34904847e-04
3.37037037e-01 2.38636479e-04
3.37737738e-01 2.41558077e-04
3.38438438e-01 2.43036135e-04
3.39139139e-01 2.42917004e-04
3.39839840e-01 2.42132341e-04
3.40540541e-01 2.40844979e-04
3.41241241e-01 2.39170851e-04
3.41941942e-01 2.37225891e-04
3.42642643e-01 2.35126033e-04
3.43343343e-01 2.32982160e-04
3.44044044e-01 2.30068926e-04
3.44744745e-01 2.25987913e-04
3.45445445e-01 2.20998033e-04
3.46146146e-01 2.15358198e-04
3.46846847e-01 2.09327317e-04
3.47547548e-01 2.03164303e-04
3.48248248e-01 1.97128067e-04
3.48948949e-01 1.91477520e-04
3.49649650e-01 1.86471573e-04
3.50350350e-01 1.82369138e-04
3.51051051e-01 1.79429125e-04
3.51751752e-01 1.77910447e-04
3.52452452e-01 1.77868863e-04
3.53153153e-01 1.78521313e-04
3.53853854e-01 1.79660379e-04
3.54554555e-01 1.81171084e-04
3.55255255e-01 1.82938452e-04
3.55955956e-01 1.84847506e-04
3.56656657e-01 1.87253386e-04
3.57357357e-01 1.91109401e-04
3.58058058e-01 1.96206400e-04
3.58758759e-01 2.02282294e-04
3.59459459e-01 2.09074994e-04
3.60160160e-01 2.16322409e-04
3.60860861e-01 2.23762449e-04
3.61561562e-01 2.31133025e-04
3.62262262e-01 2.38172046e-04
3.62962963e-01 2.44617423e-04
3.63663664e-01 2.50207066e-04
3.64364364e-01 2.54678884e-04
3.65065065e-01 2.57770788e-04
3.65765766e-01 2.59377162e-04
3.66466466e-01 2.60626583e-04
3.67167167e-01 2.61761017e-04
3.67867868e-01 2.62737136e-04
3.68568569e-01 2.63511613e-04
3.69269269e-01 2.64041120e-04
3.69969970e-01 2.64282330e-04
3.70670671e-01 2.63959824e-04
3.71371371e-01 2.62587789e-04
3.72072072e-01 2.60321560e-04
3.72772773e-01 2.57343227e-04
3.73473473e-01 2.53834878e-04
3.74174174e-01 2.49978601e-04
3.74874875e-01 2.45956485e-04
3.75575576e-01 2.41950620e-04
3.76276276e-01 2.38143092e-04
3.76976977e-01 2.34715992e-04
3.77677678e-01 2.31851407e-04
3.78378378e-01 2.29731427e-04
3.79079079e-01 2.28538139e-04
3.79779780e-01 2.28371272e-04
3.80480480e-01 2.28651876e-04
3.81181181e-01 2.29191045e-04
3.81881882e-01 2.29939454e-04
3.82582583e-01 2.30847775e-04
3.83283283e-01 2.31866680e-04
3.83983984e-01 2.32946844e-04
3.84684685e-01 2.34038938e-04
3.85385385e-01 2.35093636e-04
3.86086086e-01 2.36061610e-04
3.86786787e-01 2.36893534e-04
3.87487487e-01 2.37540079e-04
3.88188188e-01 2.37951920e-04
3.88888889e-01 2.38078150e-04
3.89589590e-01 2.37687866e-04
3.90290290e-01 2.36725139e-04
3.90990991e-01 2.35308676e-04
3.91691692e-01 2.33557184e-04
3.92392392e-01 2.31589370e-04
3.93093093e-01 2.29523941e-04
3.93793794e-01 2.27396631e-04
3.94494494e-01 2.24647625e-04
3.95195195e-01 2.21243916e-04
3.95895896e-01 2.17301752e-04
3.96596597e-01 2.12937377e-04
3.97297297e-01 2.08267038e-04
3.97997998e-01 2.03406982e-04
3.98698699e-01 1.98473453e-04
3.99399399e-01 1.93582698e-04
4.00100100e-01 1.88850963e-04
4.00800801e-01 1.84394494e-04
4.01501502e-01 1.80329536e-04
4.02202202e-01 1.76772337e-04
4.02902903e-01 1.73833934e-04
4.03603604e-01 1.71018513e-04
4.04304304e-01 1.68204762e-04
4.05005005e-01 1.65769549e-04
4.05705706e-01 1.64089746e-04
4.06406406e-01 1.63538118e-04
4.07107107e-01 1.63879818e-04
4.07807808e-01 1.64718656e-04
